TIG_PostNL::Enabled,Activé
TIG_PostNL::You can read more about sunday delivery <a href="http://www.postnl.nl/zakelijke-oplossingen/webwinkels/bezorgopties-voor-mijn-klanten/zondagbezorging/" target="_blank" title="sunday delivery">here</a>.,Vous trouverez <a href="http://www.postnl.nl/zakelijke-oplossingen/webwinkels/bezorgopties-voor-mijn-klanten/zondagbezorging/" target="_blank" title="zondagbezorging">ici</a> plus d'informations sur la livraison le dimanche.
TIG_PostNL::sunday,dimanche
TIG_PostNL::Same Day Delivery,Livraison le jour même
TIG_PostNL::today,aujourd’hui
TIG_PostNL::Enable same day delivery,Activer la livraison le jour même
TIG_PostNL::You can read more about same day delivery <a href="" target="_blank" title="same day delivery">here</a>.,Vous trouverez <a href="" target="_blank" title="dezelfde dag bezorgd « >ici</a> plus d'informations sur la livraison le jour même.
TIG_PostNL::Activate same day delivery for your customers.,Activer la livraison le jour même pour vos clients.
TIG_PostNL::Same day delivery fee,Supplément pour livraison le jour même
TIG_PostNL::Additional costs for same day delivery in the store's base currency. This fee will be added to the shipping costs. Leave this field empty to charge no extra fee for same day delivery.,Frais supplémentaires pour l'utilisation de la livraison le jour même dans la devise de base du storeview. Ces frais seront ajoutés aux frais d'envoi. Ces frais doivent se situer entre 0,00 et 25,00 euros TVAC. Laissez ce champ vide pour ne pas demander de frais supplémentaires pour l'utilisation de la livraison le jour même.
TIG_PostNL::Default same day delivery shipping option,Option d'envoi standard pour la livraison le jour même
TIG_PostNL::This setting may be overwritten by manually creating shipments.,Ce paramètre peut être remplacé par une réalisation manuelle des envois. Cette option est uniquement applicable pour les commandes avec livraison le jour même.
TIG_PostNL::Sunday delivery fee,Supplément pour livraison le dimanche
TIG_PostNL::Additional costs for sunday delivery in the store's base currency. This fee will be added to the shipping costs. Leave this field empty to charge no extra fee for sunday delivery.,Frais supplémentaires pour l'utilisation de la livraison le jour même dans la devise de base du storeview. Ces frais seront ajoutés aux frais d'envoi. Laissez ce champ vide pour ne pas demander de frais supplémentaires pour l'utilisation de la livraison le dimanche.
TIG_PostNL::Same day delivery cut-off time,Heure limite pour la livraison le jour même
TIG_PostNL::Same day delivery will only be available when starting an order before this time. Please enter this time in the %s time zone.,La livraison le jour même est uniquement disponible pour les commandes initiées avant cette heure. Indiquez une heure dans la zone horaire %s.
TIG_PostNL::N/A,N/A
TIG_PostNL::monday,lundi
TIG_PostNL::Monday Delivery,Livraison le lundi
TIG_PostNL::Domestic (COD),National (envoi contre remboursement)
TIG_PostNL::PakjeGemak (COD),PakjeGemak (envoi contre remboursement)
TIG_PostNL::Evening Delivery (COD),Livraison le soir (envoi contre remboursement)
TIG_PostNL::Early Pickup (COD),Retrait à l'aube (envoi contre remboursement)
TIG_PostNL::Monday Delivery,Livraison le lundi
TIG_PostNL::Activate monday delivery (also known as sunday sorting) for your customers. Note: this only applies to home deliveries. Postal office deliveries will not take place on Monday,Activer la livraison le lundi (aussi connu sous le nom de tri le dimanche) pour vos clients. Attention : la livraison le lundi est uniquement valable pour les adresses de maison. Les livraisons en bureau de poste ne se font pas le lundi.
TIG_PostNL::Name,Nom
TIG_PostNL::Vat,TVA
TIG_PostNL::Only use this if you have problems with special characters on your PostNL packing slip.,Utilisez cela uniquement si vous rencontrez des problèmes avec l'affichage de caractères spéciaux dans la fiche de colisage PostNL.
TIG_PostNL::This makes the PostNL packing slip use the standard Magento packing slip font. While this is visually less appealing, it can resolve some issues with special characters.,Cela veille à ce que la fiche de colisage PostNL utilise la même police que la fiche de colisage Magento. Bien que ce soit moins bon au niveau visuel, cela peut aussi éviter des problèmes avec certains caractères spéciaux.
TIG_PostNL::PDF font compatibility mode,Mode de compatibilité de la police PDF
TIG_PostNL::Same day delivery will only work if your shipping duration is set to 0 days in either the config or for applicaple products.,La livraison le jour même sera affichée uniquement si le délai d'arrivée se situe à 0 jour dans la configuration ou pour les produits sélectionnés.
TIG_PostNL::Post Office (Belgium),Bureau de poste (Belgique)
TIG_PostNL::Location Code and Retail Network ID are required for post office locations.,Location Code et Retail Network ID sont obligatoires pour la localisation des bureaux de poste.
TIG_PostNL::Belgium,Belgique
TIG_PostNL::Enable post office locations for Belgium,Activer la localisation des bureaux de poste pour la Belgique
TIG_PostNL::Maximum number of delivery days for Belgium,Nombre jours de livraison maximum pour la Belgique
TIG_PostNL::Enable PostNL delivery options in Belgium,Activer les options de livraison PostNL pour la Belgique
TIG_PostNL::House number is required for the destination country (%s).,Numéro de maison obligatoire pour le pays de destination (%s).
TIG_PostNL::PostNL delivery options in Belgium,Options de livraison PostNL en Belgique
TIG_PostNL::Enable delivery days for Belgium,Activer les jours de livraison pour la Belgique
TIG_PostNL::Enable monday delivery for Belgium,Activer la livraison le lundi pour la Belgique
TIG_PostNL::today cooled,envoi réfrigéré aujourd’hui
TIG_PostNL::cooled delivery,envoi réfrigéré
TIG_PostNL::Food Delivery Options,Options de livraison alimentaire
TIG_PostNL::Food Delivery can be used to ship both Dry & Groceries and Cool Products. Please consult your PostNL account manager for more information about activating this service for your account.,La livraison alimentaire peut être utilisée pour l'envoi d'articles KW et de produits réfrigérés. Demandez davantage d'informations à votre account manager PostNL concernant l'activation et l'utilisation de cette option.
TIG_PostNL::Food Delivery,Livraison alimentaire
TIG_PostNL::Cooled Food Delivery,Livraison aliments réfrigérés
TIG_PostNL::Food shipments can only be delivered within the Netherlands.,Les produits frais peuvent uniquement être expédiés au sein des Pays-Bas.
TIG_PostNL::ID Check shipments can only be delivered within the Netherlands.,Les produits ID Check peuvent uniquement être expédiés au sein des Pays-Bas.
TIG_PostNL::Non-Food,Non-Food
TIG_PostNL::Dry & Groceries,Frais non-réfrigéré
TIG_PostNL::Cooled Products,Frais réfrigéré
TIG_PostNL::The domestic country is not set to NL. Please keep in mind that Food Delivery is only available in the Netherlands.,Le pays d'envoi n'est pas réglé sur « Pays-Bas » pour l'instant. Soyez attentif au fait que la livraison alimentaire est uniquement possible pour les envois au sein des Pays-Bas.
TIG_PostNL::You have enabled food delivery, but have not yet enabled a Food product code. Please enable a Food product code in Advanced -> User Settings.,Vous avez activé Food delivery, mais vous n'avez encore activé aucune options de produit alimentaire. Il ne sera donc pas possible de réaliser des commandes alimentaires dans l'interface graphique. Activez les options de produit alimentaire dans Avancé -> Paramètres utilisateur.
TIG_PostNL::You currently selected the options to ship to multiple countries. It seems that these countries also include non-domestic countries. Please keep in mind that Food deliveries can only be shipped to the Netherlands.,Selon les paramètres, il est actuellement possible d'envoyer vers des pays autres que les Pays-Bas. Soyez attentif au fait que les commandes alimentaires peuvent uniquement être livrées au sein des Pays-Bas.
TIG_PostNL::Enable food delivery,Activer la livraison alimentaire
TIG_PostNL::Default product type,Modèle de produit manquant
TIG_PostNL::This value is used to determine the product type of newly created products.,Cette valeur est utilisée pour déterminer le modèle de produit des nouveaux produits créés.
TIG_PostNL::This will only be used to change the default product type for new products. Existing products should still be changed manually to the desired value.,Cela a uniquement un effet sur les nouveaux produits créés. Pour les produits existants, il est nécessaires d'adapter le modèle de produit souhaité manuellement.
TIG_PostNL::Warnings:,Attention :
TIG_PostNL::Activate food delivery for your customers.,Activez la livraison alimentaire pour vos clients.
TIG_PostNL::PHP,PHP
TIG_PostNL::Post Office Belgium options,Options bureau de poste en Belgique
TIG_PostNL::Letter Box Parcel options,Options paquet
TIG_PostNL::Cooled Delivery Options,Options d'envois réfrigérés
TIG_PostNL::Unable to create a shipment for order #%s, because GlobalPack is currently disabled.,Aucun envoi ne peut être réalisé pour la commande #%s, car GlobalPack est actuellement déconnecté.
TIG_PostNL::You cannot manually confirm GlobalPack shipments. Please use the 'print label & confirm' massaction instead.,Il est possible d'annoncer les envois GlobalPack manuellement. Veuillez utiliser l'action de masse « Imprimer étiquette & annoncer ».
TIG_PostNL::You are currently using the PostNL postcode check in combination with OneStepCheckout's Google Places. Please keep in mind that the PostNL postcode check will overwrite OneStepCheckout's address fields and thereby also the Google Places functionality.,Vous utilisez actuellement le contrôle de code postal PostNL et la fonctionnalité Google Places de OneStepCheckout. Soyez attentif au fait que le contrôle du code postal de PostNL écrasera les champs d'adresse de OneStepCheckout, ce qui rendra la fonctionnalité Google Places inutilisable.
TIG_PostNL::You are currently using the PostNL Delivery Options in combination with OneStepCheckout's Google Places. Since both functionalities use the Google Maps api, this could lead to unexpected errors.,Vous utilisez actuellement les options de livraison PostNL ainsi que la fonctionnalité Google Places de OneStepCheckout. Vu que les deux fonctionnalités utilisent Google Maps API, cela peut donner des résultats inattendus.
TIG_PostNL::You are currenlty using both the delivery date functionality from OneStepCheckout and the PostNL Delivery Options. While these functionalities should work side by side without issues, this could be confusing to your clients.,Vous utilisez actuellement la fonctionnalité delivery date de OneStepCheckout et les options de livraison de PostNL. Bien que ces fonctionnalités devraient pouvoir fonctionner en parallèle sans problème, cela peut provoquer une confusion pour vos clients.
TIG_PostNL::Food products delivery is not possible for this postal code. Please choose a different address.,Aucune livraison de produits frais n'est possible à ce code postal. Veuillez sélectionner une autre adresse.
TIG_PostNL::No attribute found with attribute code %s.,Aucun attribut trouvé avec le code d'attribut %s.
TIG_PostNL::Activate Dutch products,Activer les produits néerlandais
TIG_PostNL::Use Dutch products,Utiliser les produits néerlandais
TIG_PostNL::If this option is activated then you can use the Dutch PostNL range of products for shipments to the Netherlands,Si cette option est activée, vous pouvez utiliser l'assortiment de produit PostNL néerlandais pour les envois vers les Pays-Bas.
